Odometer_Label,Location_Label,Asset,Date,Time,Odometer,Status,Location
Odometer (km),Location,RCLU22055,01/17/2025,09:57 AM,203267.4 km,48.7 (km/h) E,"901 Thorn Crescent, Regina, Regina, SK, S4N 4H9"
Odometer (km),Location,RCLU18023,01/17/2025,09:57 AM,659381.1 km,10.2 (km/h) W,"7754 114 Ave SE, Calgary, AB, T2Z"
Odometer (km),Location,RCLU22115,01/17/2025,09:57 AM,121940.4 km,10.4 (km/h) W,"Stoney Trail Southeast, Calgary, Calgary, AB, T2C 5A6"
Odometer (km),Location,RCLU16062,01/17/2025,09:57 AM,838517.9 km,78.2 (km/h) W,"Rue Voisine, Edmundston, Edmundston, NB, E7C"
Odometer (km),Location,RCLU22029,01/17/2025,09:57 AM,200769.8 km,62.8 (km/h) E,"Bow Valley Trail, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,RCLU22094,01/17/2025,09:57 AM,88642.3 km,43.9 (km/h) W,"Road 2W, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RCLU24016,01/17/2025,09:57 AM,79615.1 km,63.3 (km/h) E,"Wyoming 76, Rawlins, Rawlins, WY, 82301"
Odometer (km),Location,RCLU16032,01/17/2025,09:57 AM,44222.9 km,82.5 (km/h) NW,"14681 Hwy-144, Edmundston, NB, E7C"
Odometer (km),Location,RCLU21023,01/17/2025,09:57 AM,298526.7 km,63.0 (km/h) E,"Bow Valley Trail, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,RCLU24048,01/17/2025,09:57 AM,91098.3 km,83.3 (km/h) NW,"Route 144, Saint-Basile, Edmundston, NB, E7C 2M2"
Odometer (km),Location,RC94838,01/17/2025,09:57 AM,653311.2 km,62.7 (km/h) NW,"Sudbury District, ON, P0M"
Odometer (km),Location,RCLU21044,01/17/2025,09:57 AM,18012.8 km,62.8 (km/h) NW,"Sudbury District, ON, P0M"
Odometer (km),Location,RCLU22052,01/17/2025,09:57 AM,214317.2 km,44.3 (km/h) W,"Hwy-221, Rosser, MB, R0C"
Odometer (km),Location,RC94842,01/17/2025,09:57 AM,847784.4 km,40.4 (km/h) S,"Sudbury District, ON, P0M"
Odometer (km),Location,RCLU16094,01/17/2025,09:57 AM,837682.2 km,42.8 (km/h) E,"Hays Lake Rd, Terrace Bay, ON, P0T"
Odometer (km),Location,RCLU24032,01/17/2025,09:57 AM,110823.3 km,21.7 (km/h) W,"240 Ellwood Dr W, Bolton, Caledon, ON, L7E"
Odometer (km),Location,RCLU18012,01/17/2025,09:57 AM,803450.6 km,46.1 (km/h) SE,"107 British Columbia 1, Ashcroft, Ashcroft, BC, V0K 1A0"
Odometer (km),Location,RCLU24508,01/17/2025,09:57 AM,34275.2 km,44.8 (km/h) W,"Hwy-221, Rosser, MB, R0C"
Odometer (km),Location,RCLU18020,01/17/2025,09:57 AM,736345.3 km,24.4 (km/h) NE,"Trans-Canada Highway, Columbia-Shuswap A, Columbia-Shuswap A, BC, V0E"
Odometer (km),Location,RCLU22033,01/17/2025,09:57 AM,155884.3 km,21.1 (km/h) W,"41 Polenta Cres, Bolton, Caledon, ON, L7E"
Odometer (km),Location,RCLU16092,01/17/2025,09:57 AM,137985.5 km,19.9 (km/h) W,"235 Wilton Drive, Caledon, Caledon, ON, L7E"
Odometer (km),Location,RCLU22026,01/17/2025,09:57 AM,188684.5 km,43.0 (km/h) E,"Hays Lake Rd, Terrace Bay, ON, P0T"
Odometer (km),Location,RCLU22099,01/17/2025,09:57 AM,117510.6 km,43.5 (km/h) W,"Hwy-221, Rosser, MB, R0C"
Odometer (km),Location,RC94881,01/17/2025,09:57 AM,861819.2 km,44.7 (km/h) W,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RC94875,01/17/2025,09:57 AM,850580.2 km,49.3 (km/h) E,"932 Downey Cres, Regina, SK, S4N"
Odometer (km),Location,RCLU16091,01/17/2025,09:57 AM,1044701.8 km,44.6 (km/h) W,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RC94812,01/17/2025,09:57 AM,560086.5 km,44.7 (km/h) W,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RC94803,01/17/2025,09:57 AM,470995.0 km,44.7 (km/h) W,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RCLU24022,01/17/2025,09:57 AM,101650.0 km,44.6 (km/h) W,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RCLU22003,01/17/2025,09:57 AM,141592.0 km,44.8 (km/h) W,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RC94889,01/17/2025,09:57 AM,50740.1 km,44.6 (km/h) W,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RCLU24008,01/17/2025,09:57 AM,115118.5 km,53.3 (km/h) NW,"Thunder Bay District, ON, P0T"
Odometer (km),Location,RCLU24550,01/17/2025,09:57 AM,37469.3 km,20.4 (km/h) W,"345 Wilton Dr, Bolton, Caledon, ON, L7E"
Odometer (km),Location,RCLU16001,01/17/2025,09:56 AM,748696.2 km,44.6 (km/h) W,"Hwy-221, Rosser, MB, R0C"
Odometer (km),Location,RC94898,01/17/2025,09:56 AM,41575.6 km,45.2 (km/h) W,"Hwy-221, Rosser, MB, R0C"
Odometer (km),Location,RCLU24041,01/17/2025,09:56 AM,105095.3 km,44.8 (km/h) W,"Hwy-221, Rosser, MB, R0C"
Odometer (km),Location,RCLU24074,01/17/2025,09:56 AM,85009.0 km,49.4 (km/h) E,"1024 Downey Cres, Regina, SK, S4N"
Odometer (km),Location,RCLU22012,01/17/2025,09:56 AM,214420.7 km,62.2 (km/h) NW,"Sudbury District, ON, P0M"
Odometer (km),Location,RCLU24003,01/17/2025,09:56 AM,110518.7 km,46.7 (km/h) S,"107 Trans-Canada Highway, Ashcroft, Ashcroft, BC, V0K 1A0"
Odometer (km),Location,RC94882,01/17/2025,09:56 AM,396191.4 km,20.5 (km/h) W,"99 Polenta Cres, Bolton, Caledon, ON, L7E"
Odometer (km),Location,RCLU16048,01/17/2025,09:56 AM,244364.9 km,96.3 (km/h) NE,"North Dundas, North Dundas, ON"
Odometer (km),Location,RCLU24573,01/17/2025,09:56 AM,28693.8 km,4.8 (km/h) N,"Calgary, AB, T2C"
Odometer (km),Location,RCLU22060,01/17/2025,09:56 AM,204569.3 km,14.1 (km/h) S,"Lachine:Fre, Montreal, QC, H8S"
Odometer (km),Location,RCLU22025,01/17/2025,09:56 AM,94245.4 km,15.2 (km/h) S,"Lachine:Fre, Montreal, QC, H8S"
Odometer (km),Location,RCLU24522,01/17/2025,09:56 AM,47873.9 km,5.0 (km/h) W,"122 Gore St E, Thunder Bay, ON, P7E"
Odometer (km),Location,RCLU22081,01/17/2025,09:56 AM,83548.9 km,49.1 (km/h) E,"189 Rothwell Cres, Regina, SK, S4N"
Odometer (km),Location,RCLU24549,01/17/2025,09:56 AM,28496.5 km,49.1 (km/h) E,"32 Cooksley Bay, Regina, Regina, SK, S4N 4G4"
Odometer (km),Location,RC94876,01/17/2025,09:56 AM,402946.5 km,22.2 (km/h) W,"568 Queen St S, Bolton, Caledon, ON, L7E"
Odometer (km),Location,RCLU24079,01/17/2025,09:55 AM,91926.8 km,85.0 (km/h) E,"Kenora District, ON, P0T"
Odometer (km),Location,RCLU22088,01/17/2025,09:55 AM,88590.5 km,47.2 (km/h) SE,"Unnamed Road, Ashcroft, Ashcroft, BC, V0K 1A0"
Odometer (km),Location,RCLU24540,01/17/2025,09:55 AM,40102.0 km,25.2 (km/h) N,"Lochinvar, Lochinvar, AB, T0C 0Y0"
Odometer (km),Location,RCLU22116,01/17/2025,09:54 AM,87311.6 km,48.7 (km/h) SE,"Basque Road, Ashcroft, Ashcroft, BC, V0K 1A0"
Odometer (km),Location,RCLU22092,01/17/2025,09:54 AM,86400.9 km,18.5 (km/h) SW,"Brampton, ON, L6T"
Odometer (km),Location,RCLU16071,01/17/2025,09:53 AM,48478.8 km,45.7 (km/h) SE,"3 Hwy-17 / Trans Canada Hwy, Schreiber, ON, P0T"
Odometer (km),Location,RCLU22009,01/17/2025,09:51 AM,189866.8 km,64.6 (km/h) E,"Unnamed Road, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,RCLU16072,01/17/2025,09:50 AM,868608.6 km,2.2 (km/h) SE,"Unnamed Road, Bushell Park, Moose Jaw No. 161, SK, S0H 0N0"
Odometer (km),Location,175068RX,01/17/2025,09:50 AM,272395.1 km,63.2 (km/h) SW,"Hwy-1 / Trans Canada Hwy, North Bay Indian Reserve 5, Columbia-Shuswap, BC, V0E"
Odometer (km),Location,RCLU16007,01/17/2025,09:50 AM,704197.0 km,2.0 (km/h) SE,"Moose Jaw No 161, SK, S0H"
Odometer (km),Location,RCLU21017,01/17/2025,09:49 AM,303050.8 km,2.6 (km/h) E,"Unnamed Road, Bushell Park, Moose Jaw No. 161, SK, S0H 0N0"
Odometer (km),Location,375069RX,01/17/2025,09:49 AM,159051.1 km,104.5 (km/h) SW,"Hwy-401, Iroquois, South Dundas, ON, K0E"
Odometer (km),Location,RCLU16039,01/17/2025,09:49 AM,640682.3 km,72.4 (km/h) E,"Unnamed Road, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,RCLU18014,01/17/2025,09:48 AM,750770.0 km,6.3 (km/h) N,"39 Freeport Blvd NE, Calgary, AB, T3J"
Odometer (km),Location,RCLU22102,01/17/2025,09:47 AM,127084.5 km,30.2 (km/h) E,"4206 Saskatchewan Dr, Regina, SK, S4T"
Odometer (km),Location,RCLU21056,01/17/2025,09:47 AM,297107.8 km,73.0 (km/h) NW,"Hwy-144, Ste-Anne Parish, NB, E7E"
Odometer (km),Location,RC94837,01/17/2025,09:47 AM,526026.1 km,49.8 (km/h) NW,"Esher-Healy Road, Esher, Sudbury, Unorganized, North Part, ON, P0M"
Odometer (km),Location,ELFC4814,01/17/2025,09:46 AM,340387.8 km,104.3 (km/h) SW,"I-15, Blackfoot, Blackfoot, ID, 83221"
Odometer (km),Location,RCLU24534,01/17/2025,09:46 AM,22063.0 km,46.9 (km/h) NW,"Unnamed Road, Esher, Sudbury, Unorganized, North Part, ON, P0M"
Odometer (km),Location,RCLU16060,01/17/2025,09:46 AM,612303.0 km,35.3 (km/h) E,"N Railway St, Regina, SK, S4T"
Odometer (km),Location,RCLU22114,01/17/2025,09:45 AM,140617.3 km,41.7 (km/h) W,"Hwy-221, Rosser, MB, R0C"
Odometer (km),Location,RCLU16058,01/17/2025,09:45 AM,953809.2 km,43.3 (km/h) NW,"554 Main St / Hwy-709 / Hwy-8, Moosomin, SK, S0G"
Odometer (km),Location,RCLU22111,01/17/2025,09:44 AM,92203.8 km,61.9 (km/h) NW,"Unnamed Road, Esher, Sudbury, Unorganized, North Part, ON, P0M"
Odometer (km),Location,RCLU18005,01/17/2025,09:44 AM,718851.9 km,41.8 (km/h) E,"5310 13th Avenue, Regina, Regina, SK, S4W 1B6"
Odometer (km),Location,RCLU16020,01/17/2025,09:43 AM,34090.0 km,4.8 (km/h) SE,"3316 Bonnybrook Road Southeast, Calgary, Calgary, AB, T2G 4M9"
Odometer (km),Location,RC94874,01/17/2025,09:43 AM,261025.8 km,2.2 (km/h) NW,"Bonnybrook Road Southeast, Calgary, Calgary, AB, T2G 4M9"
Odometer (km),Location,RCLU21040,01/17/2025,09:43 AM,284304.7 km,2.2 (km/h) NW,"3318 15 St SE, Calgary, AB, T2G"
Odometer (km),Location,RCLU21070,01/17/2025,09:41 AM,276995.2 km,2.0 (km/h) NW,"Brampton, ON, L6T"
Odometer (km),Location,RCLU22036,01/17/2025,09:41 AM,121415.9 km,2.2 (km/h) NW,"130 Intermodal Drive, Brampton, Brampton, ON, L6T 5G4"
Odometer (km),Location,RCLU24046,01/17/2025,09:37 AM,101550.5 km,70.4 (km/h) W,"Sudbury District, ON, P0M"
Odometer (km),Location,RCLU16040,01/17/2025,09:34 AM,59600.0 km,2.8 (km/h) NW,"18599 Advent Road, Pitt Meadows, Pitt Meadows, BC, V3Y 2G9"
Odometer (km),Location,RCLU24603,01/17/2025,09:32 AM,48298.0 km,60.2 (km/h) NW,"Poplar St, Sudbury District, ON, P0M"
Odometer (km),Location,RCLU24501,01/17/2025,09:31 AM,51138.7 km,55.2 (km/h) NW,"Poplar St, Sudbury District, ON, P0M"
Odometer (km),Location,RCLU24500,01/17/2025,09:30 AM,43475.0 km,44.1 (km/h) NW,"Poplar Street, Chapleau, Sudbury, Unorganized, North Part, ON, P0M"
Odometer (km),Location,RCLU22085,01/17/2025,09:29 AM,123644.7 km,40.2 (km/h) W,"Poplar Street, Chapleau, Chapleau, ON, P0M"
Odometer (km),Location,RCLU22098,01/17/2025,09:24 AM,134874.5 km,32.4 (km/h) SE,"199 Hemlo Dr, Marathon, ON, P0T"
Odometer (km),Location,RCLU21009,01/17/2025,09:18 AM,245572.6 km,3.5 (km/h) E,"100 Battery Point Road, Lunenburg, Lunenburg, NS, B0J 2C0"
Odometer (km),Location,RCLU16042,01/17/2025,09:15 AM,495025.9 km,3.5 (km/h) N,"Stornoway Ave, Moncton, NB, E1H"
Odometer (km),Location,RCLU16017,01/17/2025,09:15 AM,502097.5 km,2.4 (km/h) NE,"77 Coronation Street, Kleinburg, Vaughan, ON, L0J 1C0"
Odometer (km),Location,RCLU24007,01/16/2025,04:32 PM,99840.0 km,78.0 (km/h) SE,"Township Road 165A, Tilley, Newell County No. 4, AB, T0J 3K0"
Odometer (km),Location,RCLU24026,01/17/2025,09:58 AM,0.0 km,Stationary,"174 Deerhurst Dr, Brampton, ON, L6T"
Odometer (km),Location,RCLU18021,01/17/2025,09:58 AM,763855.1 km,Stationary,"Calgary, AB, T2C"
Odometer (km),Location,RCLU24056,01/17/2025,09:58 AM,0.0 km,Stationary,"Calgary, AB, T2C"
Odometer (km),Location,RCLU22051,01/17/2025,09:58 AM,0.0 km,Stationary,"102 Deerhurst Dr, Brampton, ON, L6T"
Odometer (km),Location,RCLU21051,01/17/2025,09:58 AM,0.0 km,Stationary,"Calgary, AB, T2C"
Odometer (km),Location,RC94829,01/17/2025,09:58 AM,0.0 km,Stationary,"Kleinburg, Vaughan, ON, L0J"
Odometer (km),Location,RCLU24034,01/17/2025,09:58 AM,0.0 km,Stationary,"Freeport Dr NE, Calgary, AB, T3J"
Odometer (km),Location,RCLU24010,01/17/2025,09:58 AM,0.0 km,Stationary,"6830 Rutherford Road, Kleinburg, Vaughan, ON, L0J 1C0"
Odometer (km),Location,RCLU24017,01/17/2025,09:58 AM,0.0 km,Stationary,"Rosser, MB, R0C"
Odometer (km),Location,RCLU24039,01/17/2025,09:58 AM,0.0 km,Stationary,"Calgary, AB, T2C"
Odometer (km),Location,RCLU24033,01/17/2025,09:58 AM,0.0 km,Stationary,"Trans-Canada Highway, Columbia-Shuswap A, Columbia-Shuswap A, BC, V0E"
Odometer (km),Location,RCLU24094,01/17/2025,09:58 AM,0.0 km,Stationary,"100 Battery Point Road, Lunenburg, Lunenburg, NS, B0J 2C0"
Odometer (km),Location,RCLU24544,01/17/2025,09:58 AM,0.0 km,Stationary,"7301 Major Mackenzie Drive, Vaughan, Vaughan, ON, L4H 3N5"
Odometer (km),Location,RCLU24568,01/17/2025,09:58 AM,0.0 km,Stationary,"Moose Jaw No 161, SK, S0H"
Odometer (km),Location,RCLU24515,01/17/2025,09:58 AM,0.0 km,Stationary,"Provincial Road 221, Rosser, Rosser, MB, R0H 1E0"
Odometer (km),Location,RCLU24514,01/17/2025,09:58 AM,0.0 km,Stationary,"Calgary, AB, T2C"
Odometer (km),Location,RCLU24521,01/17/2025,09:58 AM,0.0 km,Stationary,"7638 114 Ave SE, Calgary, AB, T2Z"
Odometer (km),Location,RCLU24503,01/17/2025,09:58 AM,0.0 km,Stationary,"Courville Road, Rocky View County, Rocky View County, AB, T0L"
Odometer (km),Location,RC94897,01/17/2025,09:58 AM,0.0 km,Stationary,"18016 Kennedy Road, Pitt Meadows, Pitt Meadows, BC, V3Y 2V7"
Odometer (km),Location,RCLU24020,01/17/2025,09:58 AM,0.0 km,Stationary,"Heritage Road, Brampton, Brampton, ON, L6Y 0B3"
Odometer (km),Location,RCLU24005,01/17/2025,09:58 AM,0.0 km,Stationary,"45 Freeport Blvd NE, Calgary, AB, T3J"
